flow_type_id	imei	req_id	pst_id	media_id	display_type_id	ad_id	alg	app_pkg	pcvr	real_cvr	spent	day	app_id	industry_name	industry_id	ad_group_name	ad_group_id	finall_cvrtarget
1	863399065849095	1760531623433_8696224f0e4740a2a5ffdb53cefa273c	1710460	895	1	117375711	bytedance_cpc_rom_004	com.sisan.mengxiongaichongguan.vivominigame	0.021219	0	0.024590	2025-10-15	85747	游戏	2100026	萌熊爱冲关-非互推-插屏-自定义激活-1227	14349834	5
1	865110058238255	1760534132713_624db2851001461cbbb18110d5d27546	1691812	895	1	117375711	internet_rom_103	com.sisan.mengxiongaichongguan.vivominigame	0.00582917220890522	0	0.006750	2025-10-15	85747	游戏	2100026	萌熊爱冲关-非互推-插屏-自定义激活-1227	14349834	5
1	862463059747193	1760525856172_b844c8f7d19545019a0aec8affe65951	1710460	895	1	117375711	internet_rom_101	com.sisan.mengxiongaichongguan.vivominigame	0.05354750156402588	0	0.063460	2025-10-15	85747	游戏	2100026	萌熊爱冲关-非互推-插屏-自定义激活-1227	14349834	5
1	868631066328058	1760354824109_d96f13c4395345a4b76e0fe3584e12b0	1691812	895	1	117375711	bytedance_cpc_rom_004	com.sisan.mengxiongaichongguan.vivominigame	0.029967	0	0.035960	2025-10-15	85747	游戏	2100026	萌熊爱冲关-非互推-插屏-自定义激活-1227	14349834	5
1	867822074166579	1760533421749_6cc118a7f5fb4db7b749a57ef392f2fd	916384	2	1	117396765	bytedance_feed_video_001	com.yywx.dphsdyf.vivominigame	0.104106	0	0.063540	2025-10-15	63280	游戏	2100026	帮女友穿搭-非互推-自定义激活-原生广告-1227-80-视频	14351465	5
1	868920067485011	1760498746656_a2332f2db2654a438034acb8dec4aec1	1006196	895	1	162719121	bytedance_feed_video_003	com.xiaochuang.psjx.vivominigame	0.134877	0	0.169720	2025-10-15	124197	游戏	2100026	攀绳救星-激励-竖版视频-3	17558022	5
1	866547063248259	1760532297093_4b5fb08ab6364050a7ee4503c80ffc4e	1006196	895	1	162719121	internet_video_104	com.xiaochuang.psjx.vivominigame	0.042106516659259796	0	0.045710	2025-10-15	124197	游戏	2100026	攀绳救星-激励-竖版视频-3	17558022	5
1	863400076709995	1760529129235_765791dbb16948499fcaef1292cf6bce	1006196	895	1	162719121	internet_video_104	com.xiaochuang.psjx.vivominigame	0.036556344479322433	0	0.040910	2025-10-15	124197	游戏	2100026	攀绳救星-激励-竖版视频-3	17558022	5
1	866844064193356	1760486661598_d9b1277bb35d49caa0f17f0fb169cf13	1006196	895	1	162719121	bytedance_feed_video_003	com.xiaochuang.psjx.vivominigame	0.039082	0	0.050800	2025-10-15	124197	游戏	2100026	攀绳救星-激励-竖版视频-3	17558022	5
1	861614072652783	1760478217825_2050f9fa5c05415baaf109a487f894b6	1691812	895	1	195231162	bytedance_cpc_rom_004	com.jiujiu.kuailaihuazhuangya.vivominigame	0.07734	0	0.077340	2025-10-15	73546	游戏	2100026	快来化妆呀-非互推-原生广告-自定义激活-072323	21925060	5
1	866421040335011	1760521121866_1953def583834a4ead4657db4f28dcb6	1006196	895	1	203862760	bytedance_feed_video_003	com.sly.xgtsxfqt.vivominigame	0.051744	0	0.049710	2025-10-15	124913	游戏	2100026	修勾逃生悬浮七套-自定义-WK-原生-竖版-250807-846-2	23300789	5
1	860818053501270	1760531588342_e96942b022ef45c78455a8ecc67d7abc	1006196	895	1	203862760	bytedance_feed_video_003	com.sly.xgtsxfqt.vivominigame	0.073391	0	0.069210	2025-10-15	124913	游戏	2100026	修勾逃生悬浮七套-自定义-WK-原生-竖版-250807-846-2	23300789	5
1	860763052394311	1760507933193_39d14caa10814994bdfae2b18cbfee29	650145	523	1	203862760	bytedance_feed_video_003	com.sly.xgtsxfqt.vivominigame	0.430126	0	0.430120	2025-10-15	124913	游戏	2100026	修勾逃生悬浮七套-自定义-WK-原生-竖版-250807-846-2	23300789	5
1	868889047222713	1760528261193_ab1e1163cbb94de29180bc50aa523496	27323	1	1	203862760	internet_video_104	com.sly.xgtsxfqt.vivominigame	0.15050223469734192	1	0.143920	2025-10-15	124913	游戏	2100026	修勾逃生悬浮七套-自定义-WK-原生-竖版-250807-846-2	23300789	5
1	863430055991777	1760533517099_6c711af1648f472f9f133ccb9664b5f4	20751	895	1	212581465	bytedance_cpc_rom_004	com.xcgame.ndjybh.vivominigame	0.075725	0	0.069410	2025-10-15	121950	游戏	2100026	脑洞解压宝盒-自定义-原生-横视-250819-12-1-1	24675768	5
1	868709053475437	1760508495332_10c5bb545faf429f8349fc4d5c80a52d	121237	895	1	212581465	internet_rom_103	com.xcgame.ndjybh.vivominigame	0.1343657374382019	0	0.143350	2025-10-15	121950	游戏	2100026	脑洞解压宝盒-自定义-原生-横视-250819-12-1-1	24675768	5
1	865424062888595	1760493584569_0c519726173540409953a925fb560779	1006196	895	1	212581465	internet_video_107	com.xcgame.ndjybh.vivominigame	0.037894319742918015	0	0.042290	2025-10-15	121950	游戏	2100026	脑洞解压宝盒-自定义-原生-横视-250819-12-1-1	24675768	5
1	868586054145213	1760491637185_e870d717bc334381bd47b0854e61cbaa	1691812	895	1	212581465	internet_rom_104	com.xcgame.ndjybh.vivominigame	0.17946676909923553	0	0.206380	2025-10-15	121950	游戏	2100026	脑洞解压宝盒-自定义-原生-横视-250819-12-1-1	24675768	5
